Lag Analysis Results for ELSPOT NO3
==================================================


wind_speed_10m:
------------------------------
Lag 1: correlation = 0.848, p-value = 0.000e+00
Lag 2: correlation = 0.829, p-value = 0.000e+00
Lag 3: correlation = 0.804, p-value = 0.000e+00
Lag 4: correlation = 0.778, p-value = 0.000e+00
Lag 5: correlation = 0.750, p-value = 0.000e+00
Lag 6: correlation = 0.721, p-value = 0.000e+00
Lag 7: correlation = 0.692, p-value = 0.000e+00
Lag 8: correlation = 0.664, p-value = 0.000e+00
Lag 9: correlation = 0.637, p-value = 0.000e+00
Lag 10: correlation = 0.610, p-value = 0.000e+00
Lag 11: correlation = 0.586, p-value = 0.000e+00
Lag 12: correlation = 0.563, p-value = 0.000e+00
Lag 13: correlation = 0.542, p-value = 0.000e+00
Lag 14: correlation = 0.522, p-value = 0.000e+00
Lag 15: correlation = 0.503, p-value = 0.000e+00
Lag 16: correlation = 0.486, p-value = 0.000e+00
Lag 17: correlation = 0.469, p-value = 0.000e+00
Lag 18: correlation = 0.455, p-value = 0.000e+00
Lag 19: correlation = 0.442, p-value = 0.000e+00
Lag 20: correlation = 0.430, p-value = 0.000e+00
Lag 21: correlation = 0.419, p-value = 0.000e+00
Lag 22: correlation = 0.409, p-value = 0.000e+00
Lag 23: correlation = 0.400, p-value = 0.000e+00
Lag 24: correlation = 0.392, p-value = 0.000e+00

wind_power_density_normalized:
------------------------------
Lag 1: correlation = 0.620, p-value = 0.000e+00
Lag 2: correlation = 0.610, p-value = 0.000e+00
Lag 3: correlation = 0.598, p-value = 0.000e+00
Lag 4: correlation = 0.584, p-value = 0.000e+00
Lag 5: correlation = 0.568, p-value = 0.000e+00
Lag 6: correlation = 0.551, p-value = 0.000e+00
Lag 7: correlation = 0.533, p-value = 0.000e+00
Lag 8: correlation = 0.514, p-value = 0.000e+00
Lag 9: correlation = 0.496, p-value = 0.000e+00
Lag 10: correlation = 0.478, p-value = 0.000e+00
Lag 11: correlation = 0.460, p-value = 0.000e+00
Lag 12: correlation = 0.444, p-value = 0.000e+00
Lag 13: correlation = 0.428, p-value = 0.000e+00
Lag 14: correlation = 0.412, p-value = 0.000e+00
Lag 15: correlation = 0.398, p-value = 0.000e+00
Lag 16: correlation = 0.385, p-value = 0.000e+00
Lag 17: correlation = 0.373, p-value = 0.000e+00
Lag 18: correlation = 0.362, p-value = 0.000e+00
Lag 19: correlation = 0.352, p-value = 0.000e+00
Lag 20: correlation = 0.343, p-value = 0.000e+00
Lag 21: correlation = 0.336, p-value = 0.000e+00
Lag 22: correlation = 0.329, p-value = 0.000e+00
Lag 23: correlation = 0.322, p-value = 0.000e+00
Lag 24: correlation = 0.316, p-value = 0.000e+00

air_temperature_2m:
------------------------------
Lag 1: correlation = -0.238, p-value = 0.000e+00
Lag 2: correlation = -0.239, p-value = 0.000e+00
Lag 3: correlation = -0.240, p-value = 0.000e+00
Lag 4: correlation = -0.241, p-value = 0.000e+00
Lag 5: correlation = -0.243, p-value = 0.000e+00
Lag 6: correlation = -0.244, p-value = 0.000e+00
Lag 7: correlation = -0.246, p-value = 0.000e+00
Lag 8: correlation = -0.248, p-value = 0.000e+00
Lag 9: correlation = -0.250, p-value = 0.000e+00
Lag 10: correlation = -0.252, p-value = 0.000e+00
Lag 11: correlation = -0.255, p-value = 0.000e+00
Lag 12: correlation = -0.258, p-value = 0.000e+00
Lag 13: correlation = -0.260, p-value = 0.000e+00
Lag 14: correlation = -0.263, p-value = 0.000e+00
Lag 15: correlation = -0.265, p-value = 0.000e+00
Lag 16: correlation = -0.268, p-value = 0.000e+00
Lag 17: correlation = -0.270, p-value = 0.000e+00
Lag 18: correlation = -0.272, p-value = 0.000e+00
Lag 19: correlation = -0.275, p-value = 0.000e+00
Lag 20: correlation = -0.277, p-value = 0.000e+00
Lag 21: correlation = -0.279, p-value = 0.000e+00
Lag 22: correlation = -0.281, p-value = 0.000e+00
Lag 23: correlation = -0.282, p-value = 0.000e+00
Lag 24: correlation = -0.283, p-value = 0.000e+00

air_pressure_at_sea_level:
------------------------------
Lag 1: correlation = -0.215, p-value = 0.000e+00
Lag 2: correlation = -0.210, p-value = 0.000e+00
Lag 3: correlation = -0.204, p-value = 0.000e+00
Lag 4: correlation = -0.198, p-value = 0.000e+00
Lag 5: correlation = -0.192, p-value = 0.000e+00
Lag 6: correlation = -0.185, p-value = 0.000e+00
Lag 7: correlation = -0.178, p-value = 0.000e+00
Lag 8: correlation = -0.170, p-value = 0.000e+00
Lag 9: correlation = -0.163, p-value = 0.000e+00
Lag 10: correlation = -0.156, p-value = 0.000e+00
Lag 11: correlation = -0.149, p-value = 0.000e+00
Lag 12: correlation = -0.142, p-value = 0.000e+00
Lag 13: correlation = -0.135, p-value = 0.000e+00
Lag 14: correlation = -0.129, p-value = 0.000e+00
Lag 15: correlation = -0.122, p-value = 0.000e+00
Lag 16: correlation = -0.116, p-value = 0.000e+00
Lag 17: correlation = -0.110, p-value = 0.000e+00
Lag 18: correlation = -0.104, p-value = 0.000e+00
Lag 19: correlation = -0.098, p-value = 0.000e+00
Lag 20: correlation = -0.092, p-value = 0.000e+00
Lag 21: correlation = -0.087, p-value = 0.000e+00
Lag 22: correlation = -0.083, p-value = 0.000e+00
Lag 23: correlation = -0.078, p-value = 0.000e+00
Lag 24: correlation = -0.074, p-value = 0.000e+00
